LogId,robotId,timeStamp,avenue,street,sirens
0,0,2024-05-17 10:20:38,1,1,0
1,0,2024-05-17 10:27:46,7,12,0
2,1,2024-05-17 10:27:46,8,12,0
3,0,2024-05-17 10:27:46,6,12,0
4,1,2024-05-17 10:27:46,7,12,0
5,0,2024-05-17 10:27:46,5,12,0
6,1,2024-05-17 10:27:47,6,12,0
7,0,2024-05-17 10:27:47,4,12,0
8,0,2024-05-17 10:27:47,3,12,0
9,1,2024-05-17 10:27:47,5,12,0
10,0,2024-05-17 10:27:47,2,12,0
11,0,2024-05-17 10:27:47,1,12,0
12,1,2024-05-17 10:27:48,4,12,0
13,0,2024-05-17 10:27:48,1,11,0
14,1,2024-05-17 10:27:48,3,12,0
15,0,2024-05-17 10:27:48,1,10,0
16,0,2024-05-17 10:27:48,1,9,0
17,1,2024-05-17 10:27:48,2,12,0
18,1,2024-05-17 10:27:49,1,12,0
19,0,2024-05-17 10:27:49,1,8,0
20,1,2024-05-17 10:27:49,1,11,0
21,1,2024-05-17 10:27:49,1,10,0
22,2,2024-05-17 10:27:49,7,14,0
23,2,2024-05-17 10:27:49,6,14,0
24,0,2024-05-17 10:27:50,2,8,0
25,1,2024-05-17 10:27:50,1,9,0
26,3,2024-05-17 10:27:50,8,14,0
27,3,2024-05-17 10:27:50,7,14,0
28,2,2024-05-17 10:27:50,5,14,0
29,0,2024-05-17 10:50:48,1,1,0
